ANT1	70.32	86.60	270.00	2450AT18B100E	2450AT18B100E_ANTC3216X140N
C1	69.95	92.45	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C1-EP-DR	53.81	84.54	0.00	10uF	NORDIC_NRF_3_RESC0201_L
C10	48.83	98.30	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C11	65.35	91.49	180.00	100pF	NORDIC_NRF_3_RESC0201_L
C12	62.23	92.45	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C13	46.75	98.30	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C14	47.83	99.90	0.00	4.7µF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C15	73.08	93.70	0.00	1.0µF	NORDIC_NRF_3_RESC0201_L
C16	72.04	92.20	0.00	47nF	NORDIC_NRF_3_RESC0201_L
C17	68.46	93.70	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C18	68.49	91.05	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C19	68.63	89.95	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C2	70.87	93.70	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C2-EP-DR	42.93	96.95	0.00	4.7uF/25V	NORDIC_NRF_3_RESC0201_L
C20	43.73	99.90	0.00	4.7µF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C21	52.88	97.65	0.00	4.7µF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C22	44.67	98.30	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C23	58.51	97.87	0.00	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C24	61.43	94.90	0.00	10uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C25	61.33	93.65	0.00	22uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C27	81.22	80.87	0.00	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C29	81.89	82.62	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C3	42.84	98.30	0.00	1pF	NORDIC_NRF_3_RESC0201_L
C30	78.85	80.87	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C31	76.06	80.87	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C32	73.52	80.87	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C33	76.73	93.65	0.00	22uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C34	44.83	96.95	0.00	0.1uF 	NORDIC_NRF_3_RESC0201_L
C37	70.98	80.87	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C38	68.44	80.87	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C39	56.39	96.07	0.00	10uF	NORDIC_NRF_3_RESC0201_L
C4	66.70	85.55	0.00	1pF	NORDIC_NRF_3_RESC0201_L
